Model,Displ,Cyl,Drive,Fuel,Veh Class,Air Pollution Score,Greenhouse Gas Score,Comb CO2
GENESIS G80,3.5,6.0,4WD,Gasoline,large car,5,4,465
GENESIS G80,3.5,6.0,4WD,Gasoline,large car,5,4,465
GENESIS G90,3.5,6.0,4WD,Gasoline,large car,5,4,426
GENESIS G90,3.5,6.0,4WD,Gasoline,large car,5,4,426
GENESIS G90 MHEV,3.5,6.0,4WD,Gasoline,large car,5,4,441
GENESIS G90 MHEV,3.5,6.0,4WD,Gasoline,large car,5,4,441
GENESIS GV60 Standard,0.0,0.0,2WD,Electricity,large car,10,10,0
GENESIS GV60 Standard,0.0,0.0,2WD,Electricity,large car,10,10,0
GENESIS GV70,2.5,4.0,4WD,Gasoline,small SUV,5,5,408
GENESIS GV70,2.5,4.0,4WD,Gasoline,small SUV,5,5,368
GENESIS GV70,2.5,4.0,4WD,Gasoline,small SUV,5,5,408
GENESIS GV70,2.5,4.0,4WD,Gasoline,small SUV,5,5,368
GENESIS GV70,3.5,6.0,4WD,Gasoline,small SUV,5,4,431
GENESIS GV70,3.5,6.0,4WD,Gasoline,small SUV,5,4,431
GENESIS GV80,2.5,4.0,4WD,Gasoline,standard SUV,5,5,404
GENESIS GV80,2.5,4.0,4WD,Gasoline,standard SUV,5,5,404
GENESIS GV80,3.5,6.0,4WD,Gasoline,standard SUV,5,4,448
GENESIS GV80,3.5,6.0,4WD,Gasoline,standard SUV,5,4,448
GMC Acadia,2.0,4.0,2WD,Gasoline,standard SUV,7,5,365
GMC Acadia,2.0,4.0,2WD,Gasoline,standard SUV,7,5,365
GMC Acadia,2.0,4.0,4WD,Gasoline,standard SUV,7,5,368
GMC Acadia,2.0,4.0,4WD,Gasoline,standard SUV,7,5,368
GMC Acadia,3.6,6.0,2WD,Gasoline,standard SUV,6,5,404
GMC Acadia,3.6,6.0,2WD,Gasoline,standard SUV,6,5,404
GMC Acadia,3.6,6.0,4WD,Gasoline,standard SUV,6,4,417
GMC Acadia,3.6,6.0,4WD,Gasoline,standard SUV,6,4,417
GMC Sierra,2.7,4.0,2WD,Gasoline,pickup,7,4,453
GMC Sierra,2.7,4.0,2WD,Gasoline,pickup,7,4,446
GMC Sierra,2.7,4.0,2WD,Gasoline,pickup,7,4,453
GMC Sierra,2.7,4.0,2WD,Gasoline,pickup,7,4,446
GMC Sierra,2.7,4.0,4WD,Gasoline,pickup,7,4,467
GMC Sierra,2.7,4.0,4WD,Gasoline,pickup,7,4,468
GMC Sierra,2.7,4.0,4WD,Gasoline,pickup,7,4,467
GMC Sierra,2.7,4.0,4WD,Gasoline,pickup,7,4,468
GMC Sierra,3.0,6.0,2WD,Diesel,pickup,5,5,396
GMC Sierra,3.0,6.0,2WD,Diesel,pickup,5,5,396
GMC Sierra,3.0,6.0,4WD,Diesel,pickup,5,4,423
GMC Sierra,3.0,6.0,4WD,Diesel,pickup,5,4,423
GMC Sierra,5.3,8.0,2WD,Ethanol/Gas,pickup,5,4,472/496
GMC Sierra,5.3,8.0,2WD,Ethanol/Gas,pickup,5,4,472/496
GMC Sierra,5.3,8.0,2WD,Gasoline,pickup,6,4,500
GMC Sierra,5.3,8.0,2WD,Gasoline,pickup,6,4,493
GMC Sierra,5.3,8.0,2WD,Gasoline,special purpose,6,3,553
GMC Sierra,5.3,8.0,2WD,Gasoline,pickup,6,4,500
GMC Sierra,5.3,8.0,2WD,Gasoline,pickup,6,4,493
GMC Sierra,5.3,8.0,2WD,Gasoline,special purpose,6,3,553
GMC Sierra,5.3,8.0,4WD,Ethanol/Gas,pickup,5,3,512/524
GMC Sierra,5.3,8.0,4WD,Ethanol/Gas,pickup,5,3,512/524
GMC Sierra,5.3,8.0,4WD,Gasoline,pickup,6,3,535
GMC Sierra,5.3,8.0,4WD,Gasoline,pickup,6,3,523
GMC Sierra,5.3,8.0,4WD,Gasoline,special purpose,6,3,564
GMC Sierra,5.3,8.0,4WD,Gasoline,pickup,6,3,535
GMC Sierra,5.3,8.0,4WD,Gasoline,pickup,6,3,523
GMC Sierra,5.3,8.0,4WD,Gasoline,special purpose,6,3,564
GMC Sierra,6.2,8.0,4WD,Gasoline,pickup,6,3,530
GMC Sierra,6.2,8.0,4WD,Gasoline,pickup,6,3,530
GMC Sierra 4WD Mud Terrain Tires,2.7,4.0,4WD,Gasoline,pickup,7,3,512
GMC Sierra 4WD Mud Terrain Tires,2.7,4.0,4WD,Gasoline,pickup,7,3,512
GMC Sierra 4WD Mud Terrain Tires,3.0,6.0,4WD,Diesel,pickup,5,4,463
GMC Sierra 4WD Mud Terrain Tires,3.0,6.0,4WD,Diesel,pickup,5,4,463
GMC Sierra 4WD Mud Terrain Tires,5.3,8.0,4WD,Ethanol/Gas,pickup,5,3,512/524
GMC Sierra 4WD Mud Terrain Tires,5.3,8.0,4WD,Ethanol/Gas,pickup,5,3,512/524
GMC Sierra 4WD Mud Terrain Tires,5.3,8.0,4WD,Gasoline,pickup,6,3,554
GMC Sierra 4WD Mud Terrain Tires,5.3,8.0,4WD,Gasoline,pickup,6,3,555
GMC Sierra 4WD Mud Terrain Tires,5.3,8.0,4WD,Gasoline,pickup,6,3,554
GMC Sierra 4WD Mud Terrain Tires,5.3,8.0,4WD,Gasoline,pickup,6,3,555
GMC Sierra 4WD Mud Terrain Tires,6.2,8.0,4WD,Gasoline,pickup,6,2,585
GMC Sierra 4WD Mud Terrain Tires,6.2,8.0,4WD,Gasoline,pickup,6,2,585
GMC Sierra AT4X,6.2,8.0,4WD,Gasoline,pickup,6,2,585
GMC Sierra AT4X,6.2,8.0,4WD,Gasoline,pickup,6,2,585
GMC Terrain,1.5,4.0,2WD,Gasoline,small SUV,7,5,338
GMC Terrain,1.5,4.0,2WD,Gasoline,small SUV,7,5,338
GMC Terrain,1.5,4.0,4WD,Gasoline,small SUV,7,5,347
GMC Terrain,1.5,4.0,4WD,Gasoline,small SUV,7,5,347
GMC Yukon,3.0,6.0,2WD,Diesel,standard SUV,3,4,442
GMC Yukon,3.0,6.0,2WD,Diesel,standard SUV,3,4,442
GMC Yukon,3.0,6.0,4WD,Diesel,standard SUV,3,4,462
GMC Yukon,3.0,6.0,4WD,Diesel,standard SUV,3,4,462
GMC Yukon,5.3,8.0,2WD,Gasoline,standard SUV,6,3,527
GMC Yukon,5.3,8.0,2WD,Gasoline,standard SUV,6,3,527
GMC Yukon,5.3,8.0,4WD,Gasoline,standard SUV,6,3,527
GMC Yukon,5.3,8.0,4WD,Gasoline,standard SUV,6,3,527
GMC Yukon,6.2,8.0,2WD,Gasoline,standard SUV,6,3,555
GMC Yukon,6.2,8.0,2WD,Gasoline,standard SUV,6,3,555
GMC Yukon,6.2,8.0,4WD,Gasoline,standard SUV,6,3,564
GMC Yukon,6.2,8.0,4WD,Gasoline,standard SUV,6,3,564
GMC Yukon XL,3.0,6.0,2WD,Diesel,standard SUV,3,4,442
GMC Yukon XL,3.0,6.0,2WD,Diesel,standard SUV,3,4,442
GMC Yukon XL,3.0,6.0,4WD,Diesel,standard SUV,3,4,462
GMC Yukon XL,3.0,6.0,4WD,Diesel,standard SUV,3,4,462
GMC Yukon XL,5.3,8.0,2WD,Gasoline,standard SUV,6,3,527
GMC Yukon XL,5.3,8.0,2WD,Gasoline,standard SUV,6,3,527
GMC Yukon XL,5.3,8.0,4WD,Gasoline,standard SUV,6,3,545
GMC Yukon XL,5.3,8.0,4WD,Gasoline,standard SUV,6,3,545
GMC Yukon XL,6.2,8.0,2WD,Gasoline,standard SUV,6,3,555
GMC Yukon XL,6.2,8.0,2WD,Gasoline,standard SUV,6,3,555
GMC Yukon XL,6.2,8.0,4WD,Gasoline,standard SUV,6,3,564
GMC Yukon XL,6.2,8.0,4WD,Gasoline,standard SUV,6,3,564
HONDA Accord,1.5,4.0,2WD,Gasoline,large car,7,6,277
HONDA Accord,1.5,4.0,2WD,Gasoline,large car,7,6,277
HONDA Accord,2.0,4.0,2WD,Gasoline,large car,7,8,184
HONDA Accord,2.0,4.0,2WD,Gasoline,large car,7,8,184
HONDA Accord Sport/Touring,2.0,4.0,2WD,Gasoline,midsize car,7,8,201
HONDA Accord Sport/Touring,2.0,4.0,2WD,Gasoline,midsize car,7,8,201
HONDA CR-V,1.5,4.0,2WD,Gasoline,small SUV,7,6,290
HONDA CR-V,1.5,4.0,2WD,Gasoline,small SUV,7,6,290
HONDA CR-V,1.5,4.0,4WD,Gasoline,small SUV,6,6,305
HONDA CR-V,1.5,4.0,4WD,Gasoline,small SUV,6,6,305
HONDA CR-V,2.0,4.0,2WD,Gasoline,small SUV,7,7,223
HONDA CR-V,2.0,4.0,2WD,Gasoline,small SUV,7,7,223
HONDA CR-V,2.0,4.0,4WD,Gasoline,small SUV,7,7,237
HONDA CR-V,2.0,4.0,4WD,Gasoline,small SUV,7,7,237
HONDA Civic 4Dr,1.5,4.0,2WD,Gasoline,midsize car,7,7,243
HONDA Civic 4Dr,1.5,4.0,2WD,Gasoline,midsize car,7,7,243
HONDA Civic 4Dr,1.5,4.0,2WD,Gasoline,midsize car,6,6,285
HONDA Civic 4Dr,1.5,4.0,2WD,Gasoline,midsize car,6,6,285
HONDA Civic 4Dr,1.5,4.0,2WD,Gasoline,midsize car,7,7,260
HONDA Civic 4Dr,1.5,4.0,2WD,Gasoline,midsize car,7,7,260
HONDA Civic 4Dr,2.0,4.0,2WD,Gasoline,midsize car,7,7,254
HONDA Civic 4Dr,2.0,4.0,2WD,Gasoline,midsize car,7,7,254
HONDA Civic 4Dr,2.0,4.0,2WD,Gasoline,midsize car,7,6,266
HONDA Civic 4Dr,2.0,4.0,2WD,Gasoline,midsize car,7,6,266
HONDA Civic 5Dr,1.5,4.0,2WD,Gasoline,large car,7,7,258
HONDA Civic 5Dr,1.5,4.0,2WD,Gasoline,large car,7,7,258
HONDA Civic 5Dr,1.5,4.0,2WD,Gasoline,large car,6,6,282
HONDA Civic 5Dr,1.5,4.0,2WD,Gasoline,large car,6,6,282
HONDA Civic 5Dr,1.5,4.0,2WD,Gasoline,large car,7,6,267
HONDA Civic 5Dr,1.5,4.0,2WD,Gasoline,large car,7,6,267
HONDA Civic 5Dr,2.0,4.0,2WD,Gasoline,large car,7,6,269
HONDA Civic 5Dr,2.0,4.0,2WD,Gasoline,large car,7,6,269
HONDA Civic 5Dr,2.0,4.0,2WD,Gasoline,large car,6,6,304
HONDA Civic 5Dr,2.0,4.0,2WD,Gasoline,large car,6,6,304
HONDA Civic 5Dr,2.0,4.0,2WD,Gasoline,large car,6,5,364
HONDA Civic 5Dr,2.0,4.0,2WD,Gasoline,large car,6,5,364
HONDA Civic 5Dr,2.0,4.0,2WD,Gasoline,large car,7,6,277
HONDA Civic 5Dr,2.0,4.0,2WD,Gasoline,large car,7,6,277
HONDA HR-V,2.0,4.0,2WD,Gasoline,station wagon,7,6,309
HONDA HR-V,2.0,4.0,2WD,Gasoline,station wagon,7,6,309
HONDA HR-V,2.0,4.0,4WD,Gasoline,station wagon,7,5,326
HONDA HR-V,2.0,4.0,4WD,Gasoline,station wagon,7,5,326
HONDA Odyssey,3.5,6.0,2WD,Gasoline,minivan,5,5,394
HONDA Odyssey,3.5,6.0,2WD,Gasoline,minivan,5,5,394
HONDA Passport,3.5,6.0,4WD,Gasoline,small SUV,3,4,416
HONDA Passport,3.5,6.0,4WD,Gasoline,small SUV,3,4,416
HONDA Pilot,3.5,6.0,2WD,Gasoline,small SUV,7,5,402
HONDA Pilot,3.5,6.0,2WD,Gasoline,small SUV,7,5,402
HONDA Pilot,3.5,6.0,4WD,Gasoline,standard SUV,7,4,415
HONDA Pilot,3.5,6.0,4WD,Gasoline,standard SUV,7,4,415
HONDA Pilot AWD Touring/Elite/Black,3.5,6.0,4WD,Gasoline,standard SUV,7,4,422
HONDA Pilot AWD Touring/Elite/Black,3.5,6.0,4WD,Gasoline,standard SUV,7,4,422
HONDA Pilot AWD TrailSport,3.5,6.0,4WD,Gasoline,standard SUV,7,4,442
HONDA Pilot AWD TrailSport,3.5,6.0,4WD,Gasoline,standard SUV,7,4,442
HONDA Ridgeline,3.5,6.0,4WD,Gasoline,pickup,3,4,441
HONDA Ridgeline,3.5,6.0,4WD,Gasoline,pickup,3,4,441
HYUNDAI Elantra,1.6,4.0,2WD,Gasoline,midsize car,5,6,288
HYUNDAI Elantra,1.6,4.0,2WD,Gasoline,midsize car,5,6,288
HYUNDAI Elantra,2.0,4.0,2WD,Gasoline,midsize car,7,7,263
HYUNDAI Elantra,2.0,4.0,2WD,Gasoline,midsize car,7,7,245
HYUNDAI Elantra,2.0,4.0,2WD,Gasoline,midsize car,7,7,263
HYUNDAI Elantra,2.0,4.0,2WD,Gasoline,midsize car,7,7,245
HYUNDAI Elantra,2.0,4.0,2WD,Gasoline,midsize car,5,7,263
HYUNDAI Elantra,2.0,4.0,2WD,Gasoline,midsize car,5,7,245
HYUNDAI Elantra,2.0,4.0,2WD,Gasoline,midsize car,5,7,263
HYUNDAI Elantra,2.0,4.0,2WD,Gasoline,midsize car,5,7,245
HYUNDAI Elantra Hybrid,1.6,4.0,2WD,Gasoline,midsize car,7,8,177
HYUNDAI Elantra Hybrid,1.6,4.0,2WD,Gasoline,midsize car,7,8,177
HYUNDAI Elantra Hybrid Blue,1.6,4.0,2WD,Gasoline,midsize car,7,9,165
HYUNDAI Elantra Hybrid Blue,1.6,4.0,2WD,Gasoline,midsize car,7,9,165
HYUNDAI Elantra N,2.0,4.0,2WD,Gasoline,midsize car,3,5,388
HYUNDAI Elantra N,2.0,4.0,2WD,Gasoline,midsize car,3,5,388
HYUNDAI Elantra N,2.0,4.0,2WD,Gasoline,midsize car,3,5,358
HYUNDAI Elantra N,2.0,4.0,2WD,Gasoline,midsize car,3,5,358
HYUNDAI Ioniq 5,0.0,0.0,2WD,Electricity,large car,10,10,0
HYUNDAI Ioniq 5,0.0,0.0,2WD,Electricity,large car,10,10,0
HYUNDAI Ioniq 5,0.0,0.0,2WD,Electricity,large car,10,10,0
HYUNDAI Ioniq 5,0.0,0.0,2WD,Electricity,large car,10,10,0
HYUNDAI Ioniq 5,0.0,0.0,4WD,Electricity,large car,10,10,0
HYUNDAI Ioniq 5,0.0,0.0,4WD,Electricity,large car,10,10,0
"HYUNDAI Ioniq 6 Long range AWD (18"" Wheels)",0.0,0.0,4WD,Electricity,midsize car,10,10,0
"HYUNDAI Ioniq 6 Long range AWD (18"" Wheels)",0.0,0.0,4WD,Electricity,midsize car,10,10,0
"HYUNDAI Ioniq 6 Long range AWD (20"" Wheels)",0.0,0.0,4WD,Electricity,midsize car,10,10,0
"HYUNDAI Ioniq 6 Long range AWD (20"" Wheels)",0.0,0.0,4WD,Electricity,midsize car,10,10,0
"HYUNDAI Ioniq 6 Long range RWD (18"" Wheels)",0.0,0.0,2WD,Electricity,midsize car,10,10,0
"HYUNDAI Ioniq 6 Long range RWD (18"" Wheels)",0.0,0.0,2WD,Electricity,midsize car,10,10,0
"HYUNDAI Ioniq 6 Long range RWD (20"" Wheels)",0.0,0.0,2WD,Electricity,midsize car,10,10,0
"HYUNDAI Ioniq 6 Long range RWD (20"" Wheels)",0.0,0.0,2WD,Electricity,midsize car,10,10,0
HYUNDAI Ioniq 6 Standard Range RWD,0.0,0.0,2WD,Electricity,midsize car,10,10,0
HYUNDAI Ioniq 6 Standard Range RWD,0.0,0.0,2WD,Electricity,midsize car,10,10,0
HYUNDAI Kona,1.6,4.0,2WD,Gasoline,small SUV,5,6,284
HYUNDAI Kona,1.6,4.0,2WD,Gasoline,small SUV,5,6,284
HYUNDAI Kona,1.6,4.0,4WD,Gasoline,small SUV,5,6,311
HYUNDAI Kona,1.6,4.0,4WD,Gasoline,small SUV,5,6,311
HYUNDAI Kona,2.0,4.0,2WD,Gasoline,small SUV,7,6,281
HYUNDAI Kona,2.0,4.0,2WD,Gasoline,small SUV,7,6,281
HYUNDAI Kona,2.0,4.0,4WD,Gasoline,small SUV,7,6,301
HYUNDAI Kona,2.0,4.0,4WD,Gasoline,small SUV,7,6,301
HYUNDAI Kona Electric,0.0,0.0,2WD,Electricity,small SUV,10,10,0
HYUNDAI Kona Electric,0.0,0.0,2WD,Electricity,small SUV,10,10,0
HYUNDAI Kona N,2.0,4.0,2WD,Gasoline,small SUV,3,5,396
HYUNDAI Kona N,2.0,4.0,2WD,Gasoline,small SUV,3,5,396
HYUNDAI NEXO,0.0,0.0,2WD,Hydrogen,small SUV,10,10,0
HYUNDAI NEXO,0.0,0.0,2WD,Hydrogen,small SUV,10,10,0
HYUNDAI NEXO Blue,0.0,0.0,2WD,Hydrogen,small SUV,10,10,0
HYUNDAI NEXO Blue,0.0,0.0,2WD,Hydrogen,small SUV,10,10,0
HYUNDAI Palisade,3.8,6.0,2WD,Gasoline,small SUV,5,5,406
HYUNDAI Palisade,3.8,6.0,2WD,Gasoline,small SUV,5,5,406
HYUNDAI Palisade,3.8,6.0,4WD,Gasoline,small SUV,5,4,422
HYUNDAI Palisade,3.8,6.0,4WD,Gasoline,small SUV,5,4,422
HYUNDAI Santa Cruz,2.5,4.0,4WD,Gasoline,small SUV,5,5,402
HYUNDAI Santa Cruz,2.5,4.0,4WD,Gasoline,small SUV,5,5,402
HYUNDAI Santa Cruz,2.5,4.0,2WD,Gasoline,small SUV,5,5,381
HYUNDAI Santa Cruz,2.5,4.0,2WD,Gasoline,small SUV,5,5,381
HYUNDAI Santa Cruz,2.5,4.0,4WD,Gasoline,small SUV,5,5,390
HYUNDAI Santa Cruz,2.5,4.0,4WD,Gasoline,small SUV,5,5,390
HYUNDAI Santa Fe,2.5,4.0,2WD,Gasoline,small SUV,5,5,365
HYUNDAI Santa Fe,2.5,4.0,2WD,Gasoline,small SUV,5,5,365
HYUNDAI Santa Fe,2.5,4.0,4WD,Gasoline,small SUV,5,5,375
HYUNDAI Santa Fe,2.5,4.0,4WD,Gasoline,small SUV,5,5,375
HYUNDAI Santa Fe,2.5,4.0,2WD,Gasoline,small SUV,7,5,344
HYUNDAI Santa Fe,2.5,4.0,2WD,Gasoline,small SUV,7,5,344
HYUNDAI Santa Fe,2.5,4.0,4WD,Gasoline,small SUV,7,5,378
HYUNDAI Santa Fe,2.5,4.0,4WD,Gasoline,small SUV,7,5,378
HYUNDAI Santa Fe Hybrid,1.6,4.0,4WD,Gasoline,small SUV,7,6,283
HYUNDAI Santa Fe Hybrid,1.6,4.0,4WD,Gasoline,small SUV,7,6,283
HYUNDAI Santa Fe Hybrid Blue,1.6,4.0,4WD,Gasoline,small SUV,7,7,264
HYUNDAI Santa Fe Hybrid Blue,1.6,4.0,4WD,Gasoline,small SUV,7,7,264
HYUNDAI Santa Fe Plug-in Hybrid,1.6,4.0,4WD,Gasoline/Electricity,small SUV,7,10,111
HYUNDAI Santa Fe Plug-in Hybrid,1.6,4.0,4WD,Gasoline/Electricity,small SUV,7,10,111
HYUNDAI Sonata,1.6,4.0,2WD,Gasoline,large car,5,6,293
HYUNDAI Sonata,1.6,4.0,2WD,Gasoline,large car,5,6,293
HYUNDAI Sonata,2.5,4.0,2WD,Gasoline,large car,5,5,335
HYUNDAI Sonata,2.5,4.0,2WD,Gasoline,large car,5,5,335
HYUNDAI Sonata,2.5,4.0,2WD,Gasoline,large car,7,6,293
HYUNDAI Sonata,2.5,4.0,2WD,Gasoline,large car,7,6,282
HYUNDAI Sonata,2.5,4.0,2WD,Gasoline,large car,7,6,293
HYUNDAI Sonata,2.5,4.0,2WD,Gasoline,large car,7,6,282
HYUNDAI Sonata Hybrid,2.0,4.0,2WD,Gasoline,large car,7,8,189
HYUNDAI Sonata Hybrid,2.0,4.0,2WD,Gasoline,large car,7,8,189
HYUNDAI Sonata Hybrid Blue,2.0,4.0,2WD,Gasoline,large car,7,9,172
HYUNDAI Sonata Hybrid Blue,2.0,4.0,2WD,Gasoline,large car,7,9,172
HYUNDAI Tuscon,2.5,4.0,2WD,Gasoline,small SUV,7,6,322
HYUNDAI Tuscon,2.5,4.0,2WD,Gasoline,small SUV,7,6,322
HYUNDAI Tuscon,2.5,4.0,4WD,Gasoline,small SUV,7,5,351
HYUNDAI Tuscon,2.5,4.0,4WD,Gasoline,small SUV,7,5,351
HYUNDAI Tuscon Hybrid,1.6,4.0,4WD,Gasoline,small SUV,7,7,245
HYUNDAI Tuscon Hybrid,1.6,4.0,4WD,Gasoline,small SUV,7,7,245
HYUNDAI Tuscon Hybrid Blue,1.6,4.0,4WD,Gasoline,small SUV,7,7,238
HYUNDAI Tuscon Hybrid Blue,1.6,4.0,4WD,Gasoline,small SUV,7,7,238
HYUNDAI Tuscon Plug-in Hybrid,1.6,4.0,4WD,Gasoline/Electricity,small SUV,7,10,100
HYUNDAI Tuscon Plug-in Hybrid,1.6,4.0,4WD,Gasoline/Electricity,small SUV,7,10,100
HYUNDAI Venue,1.6,4.0,2WD,Gasoline,midsize car,5,6,290
HYUNDAI Venue,1.6,4.0,2WD,Gasoline,midsize car,5,6,290
INFINITI Q50,3.0,6.0,2WD,Gasoline,midsize car,3,5,388
INFINITI Q50,3.0,6.0,2WD,Gasoline,midsize car,3,5,388
INFINITI Q50,3.0,6.0,4WD,Gasoline,midsize car,3,5,403
INFINITI Q50,3.0,6.0,4WD,Gasoline,midsize car,3,5,403
INFINITI Q50 Red Sport,3.0,6.0,2WD,Gasoline,midsize car,3,5,403
INFINITI Q50 Red Sport,3.0,6.0,2WD,Gasoline,midsize car,3,5,403
INFINITI Q50 Red Sport,3.0,6.0,4WD,Gasoline,midsize car,3,5,411
INFINITI Q50 Red Sport,3.0,6.0,4WD,Gasoline,midsize car,3,5,411
INFINITI QX50,2.0,4.0,2WD,Gasoline,small SUV,6,5,343
INFINITI QX50,2.0,4.0,2WD,Gasoline,small SUV,6,5,343
INFINITI QX50,2.0,4.0,4WD,Gasoline,small SUV,6,5,357
INFINITI QX50,2.0,4.0,4WD,Gasoline,small SUV,6,5,357
INFINITI QX55,2.0,4.0,4WD,Gasoline,small SUV,6,5,366
INFINITI QX55,2.0,4.0,4WD,Gasoline,small SUV,6,5,366
INFINITI QX60,3.5,6.0,2WD,Gasoline,standard SUV,5,5,387
INFINITI QX60,3.5,6.0,2WD,Gasoline,standard SUV,5,5,387
INFINITI QX60,3.5,6.0,4WD,Gasoline,standard SUV,5,5,405
INFINITI QX60,3.5,6.0,4WD,Gasoline,standard SUV,5,5,405
INFINITI QX80,5.6,8.0,2WD,Gasoline,standard SUV,3,3,552
INFINITI QX80,5.6,8.0,2WD,Gasoline,standard SUV,3,3,552
INFINITI QX80,5.6,8.0,4WD,Gasoline,standard SUV,3,2,592
INFINITI QX80,5.6,8.0,4WD,Gasoline,standard SUV,3,2,593
INFINITI QX80,5.6,8.0,4WD,Gasoline,standard SUV,3,2,592
INFINITI QX80,5.6,8.0,4WD,Gasoline,standard SUV,3,2,593
JAGUAR E-Pace,2.0,4.0,4WD,Gasoline,small SUV,7,5,398
JAGUAR E-Pace,2.0,4.0,4WD,Gasoline,small SUV,7,5,398
JAGUAR F-Pace,2.0,4.0,4WD,Gasoline,small SUV,7,5,365
JAGUAR F-Pace,2.0,4.0,4WD,Gasoline,small SUV,7,5,365
JAGUAR F-Pace P340 MHEV,3.0,6.0,4WD,Gasoline,small SUV,7,5,402
JAGUAR F-Pace P340 MHEV,3.0,6.0,4WD,Gasoline,small SUV,7,5,402
JAGUAR F-Pace P400 MHEV,3.0,6.0,4WD,Gasoline,small SUV,7,5,408
JAGUAR F-Pace P400 MHEV,3.0,6.0,4WD,Gasoline,small SUV,7,5,408
JAGUAR F-Pace SVR,5.0,8.0,4WD,Gasoline,small SUV,3,3,509
JAGUAR F-Pace SVR,5.0,8.0,4WD,Gasoline,small SUV,3,3,509
JAGUAR F-Type P450 Convertible,5.0,8.0,2WD,Gasoline,small car,3,4,460
JAGUAR F-Type P450 Convertible,5.0,8.0,2WD,Gasoline,small car,3,4,460
JAGUAR F-Type P450 Coupe,5.0,8.0,2WD,Gasoline,small car,3,4,460
JAGUAR F-Type P450 Coupe,5.0,8.0,2WD,Gasoline,small car,3,4,460
JAGUAR F-Type P450 R-Dynamic Conv,5.0,8.0,4WD,Gasoline,small car,3,4,481
JAGUAR F-Type P450 R-Dynamic Conv,5.0,8.0,4WD,Gasoline,small car,3,4,481
JAGUAR F-Type P450 R-Dynamic Coupe,5.0,8.0,4WD,Gasoline,small car,3,4,481
JAGUAR F-Type P450 R-Dynamic Coupe,5.0,8.0,4WD,Gasoline,small car,3,4,481
JAGUAR F-Type R Convertible,5.0,8.0,4WD,Gasoline,small car,3,4,481
JAGUAR F-Type R Convertible,5.0,8.0,4WD,Gasoline,small car,3,4,481
JAGUAR F-Type R Coupe,5.0,8.0,4WD,Gasoline,small car,3,4,481
JAGUAR F-Type R Coupe,5.0,8.0,4WD,Gasoline,small car,3,4,481
JAGUAR I-PACE EV400 (20 inch tires),0.0,0.0,4WD,Electricity,small SUV,10,10,0
JAGUAR I-PACE EV400 (20 inch tires),0.0,0.0,4WD,Electricity,small SUV,10,10,0
JAGUAR I-PACE EV400 (22 inch tire),0.0,0.0,4WD,Electricity,small SUV,10,10,0
JAGUAR I-PACE EV400 (22 inch tire),0.0,0.0,4WD,Electricity,small SUV,10,10,0
JAGUAR XF P250,2.0,4.0,2WD,Gasoline,midsize car,7,6,317
JAGUAR XF P250,2.0,4.0,2WD,Gasoline,midsize car,7,6,317
JAGUAR XF P250,2.0,4.0,4WD,Gasoline,midsize car,7,5,336
JAGUAR XF P250,2.0,4.0,4WD,Gasoline,midsize car,7,5,336
JAGUAR XF P300,2.0,4.0,4WD,Gasoline,midsize car,7,5,352
JAGUAR XF P300,2.0,4.0,4WD,Gasoline,midsize car,7,5,352
JEEP Cherokee,2.4,4.0,4WD,Gasoline,small SUV,6,5,370
JEEP Cherokee,2.4,4.0,4WD,Gasoline,small SUV,6,5,370
JEEP Cherokee Trailhawk,2.0,4.0,4WD,Gasoline,small SUV,5,5,400
JEEP Cherokee Trailhawk,2.0,4.0,4WD,Gasoline,small SUV,5,5,400
JEEP Compass,2.0,4.0,4WD,Gasoline,small SUV,7,5,330
JEEP Compass,2.0,4.0,4WD,Gasoline,small SUV,7,5,330
JEEP Gladiator,3.6,6.0,4WD,Gasoline,pickup,7,4,466
JEEP Gladiator,3.6,6.0,4WD,Gasoline,pickup,7,4,466
JEEP Gladiator,3.6,6.0,4WD,Gasoline,pickup,5,4,476
JEEP Gladiator,3.6,6.0,4WD,Gasoline,pickup,5,4,476
JEEP Gladiator EcoDiesel 4X4,3.0,6.0,4WD,Diesel,pickup,1,4,423
JEEP Gladiator EcoDiesel 4X4,3.0,6.0,4WD,Diesel,pickup,1,4,423
JEEP Gladiator Rubic EcoDiesel 4X4,3.0,6.0,4WD,Diesel,pickup,1,4,436
JEEP Gladiator Rubic EcoDiesel 4X4,3.0,6.0,4WD,Diesel,pickup,1,4,436
JEEP Grand Cherokee,2.0,4.0,4WD,Gasoline/Electricity,standard SUV,7,8,177
JEEP Grand Cherokee,2.0,4.0,4WD,Gasoline/Electricity,standard SUV,7,8,177
JEEP Grand Cherokee,3.6,6.0,2WD,Gasoline,standard SUV,7,5,407
JEEP Grand Cherokee,3.6,6.0,2WD,Gasoline,standard SUV,7,5,407
JEEP Grand Cherokee,3.6,6.0,4WD,Gasoline,standard SUV,7,5,413
JEEP Grand Cherokee,3.6,6.0,4WD,Gasoline,standard SUV,7,5,413
JEEP Grand Cherokee,5.7,8.0,4WD,Gasoline,standard SUV,5,3,533
JEEP Grand Cherokee,5.7,8.0,4WD,Gasoline,standard SUV,5,3,533
JEEP Grand Cherokee L,3.6,6.0,2WD,Gasoline,standard SUV,7,4,416
JEEP Grand Cherokee L,3.6,6.0,2WD,Gasoline,standard SUV,7,4,416
